height_cm,weight_kg
150,45
152,47
154,48
156,50
158,52
160,54
162,56
164,58
166,60
168,62
170,64
172,66
174,68
176,70
178,72
180,74
182,76
184,78
186,80
188,82
190,84
192,86
194,88
196,90
198,92
200,94
202,96
204,98
206,100
208,102
210,104
155,49
157,51
159,53
161,55
163,57
165,59
167,61
169,63
171,65
173,67
175,69
177,71
179,73
181,75
183,77
185,79
187,81
189,83
191,85
193,87
195,89
197,91
199,93
201,95
203,97
205,99
207,101
209,103
148,43
149,44
151,46
153,47
154,49
157,50
159,52
161,54
163,56
165,58
167,60
169,62
171,64
173,66
175,68
177,70
179,72
181,74
183,76
185,78
187,80
189,82
191,84
193,86
195,88
197,90
199,92
201,94
203,96
205,98
207,100
209,102
211,105
146,41
147,42
149,44
151,45
153,47
155,49
157,51
159,53
161,55
163,57
165,59
167,61
169,63
171,65
173,67
175,69
177,71
179,73
181,75
183,77
185,79
187,81
189,83
191,85
193,87
195,89
197,91
199,93
201,95
203,97
205,99
207,101
209,103
212,106
