year,month,interest_rate,unemployment_rate,index_price
2024,1,3.50,6.10,1465
2024,2,3.55,6.05,1472
2024,3,3.60,5.98,1484
2024,4,3.65,5.92,1491
2024,5,3.70,5.88,1503
2024,6,3.75,5.80,1512
2024,7,3.80,5.75,1520
2024,8,3.85,5.70,1531
2024,9,3.90,5.65,1540
2024,10,3.95,5.60,1551
2024,11,4.00,5.55,1560
2024,12,4.05,5.50,1572
2025,1,4.10,5.45,1580
2025,2,4.15,5.40,1591
2025,3,4.20,5.35,1600
2025,4,4.25,5.30,1612
2025,5,4.30,5.25,1621
2025,6,4.35,5.20,1633
2025,7,4.40,5.15,1642
2025,8,4.35,5.10,1655
2025,9,4.30,5.05,1667
2025,10,4.25,5.00,1678
2025,11,4.20,4.95,1690
2025,12,4.15,4.90,1703
2026,1,4.10,4.85,1715
